Friday          Jumma
Day             Din
Night           Raat
Garden          Bagh
Air             Hawa
Cool            Thandi
Hot             Garmi
Fresh           Taza
Good            Acha
Bad             Burra
Walking         Chalna
Running         Bhagna
Beautiful       Kubhsurat
Ugly            Badsurat
Flowers         Phools
Flower          Phool
Saw             Dekha
Butterfly       Tittli
One             Aik
Yellow          Peela
Cabinet         Almari
Crockery        Bartan
Son             Beta
Sun             Sooraj
Moon            Chaand
Earth           Zameen
Apple           Saib
Banana          Kela
Fever           Bukhar
Roof            Chat
House           Ghar
Sneeze          Cheenk
Thief           Chor
Vacation        Chutti
Circumstances   Halaat
Place           Jagha
Broom           Jharo
Sweat           Paseena
Tree            Darakht
Leaf            Patta
Success         Taraqi
Fragrance       Khushbu
Family          Khandaan
Chair           Kursi
Food            Khana
Weather         Mousam
Cat             Billi
Study           Parhai
Sleep           Sona
Woke            Utha
